case_name,benchmark,rs,partial_rs,difficulty_level,is_fn
sympy__sympy-19601@@sympy.simplify.radsim.collect.jsonl,Swebench,0,0.875,difficult,False
sympy@@sympy_printing_pretty_stringpict.py@@render_L249.jsonl,Real,1,1,difficult,True
scikit-learn@@sklearn_decomposition__nmf.py@@transform_L1728.jsonl,Real,0,0.265625,difficult,False
sympy@@sympy_core_operations.py@@_matches_commutative_L202.jsonl,Real,0,0.4,difficult,False
scikit-learn__scikit-learn-25589@@sklearn.preprocessing._encoders.transform.jsonl,Swebench,0,0.15384615384615385,difficult,False
psf__requests-1766@@requests.auth.build_digest_header.jsonl,Swebench,0,0.8666666666666667,difficult,False
scikit-learn@@sklearn_decomposition__nmf.py@@_minibatch_step_L2065.jsonl,Real,0,0.48484848484848486,difficult,False
scikit-learn__scikit-learn-13915@@sklearn.metrics.pairwise._euclidean_distances_upcast.jsonl,Swebench,0,0.006024096385542169,difficult,False
scikit-learn@@sklearn_decomposition__nmf.py@@_check_w_h_L1186.jsonl,Real,0,0.7391304347826086,difficult,False
scikit-learn@@sklearn_ensemble__hist_gradient_boosting_binning.py@@fit_L178.jsonl,Real,0,0.6666666666666666,difficult,False
scikit-learn@@sklearn_cluster__dbscan.py@@fit_predict_L476.jsonl,Real,0,0.05263157894736842,difficult,False
scikit-learn__scikit-learn-11635@@sklearn.feature_selection._base.transform.jsonl,Swebench,0,0.45098039215686275,difficult,False
sympy@@sympy_core_power.py@@_eval_is_rational_L1244.jsonl,Real,0,0.6666666666666666,difficult,False
sympy__sympy-12472@@sympy.simplify.radsim.handle.jsonl,Swebench,1,1.0,difficult,False
matplotlib@@matplotlib_pyplot.py@@switch_backend_L393.jsonl,Real,1,1,difficult,True
sympy__sympy-21586@@sympy.core.sympif.sympify.jsonl,Swebench,0,0.6666666666666666,difficult,False
scikit-learn@@sklearn_metrics__scorer.py@@__call___L137.jsonl,Real,0,0.2,difficult,False
matplotlib@@matplotlib__api_deprecation.py@@delete_parameter_L314.jsonl,Real,0,0.4,difficult,False
scikit-learn@@sklearn_ensemble__bagging.py@@get_metadata_routing_L625.jsonl,Real,0,0.25925925925925924,difficult,False
sympy__sympy-13146@@sympy.core.operations._eval_evalf.jsonl,Swebench,1,1,difficult,True
